"ZetaPrints Sync","Настройки ZetaPrints"
"Settings","Настройки"
"Enabled","Активиран"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API ключ"
"Store","Магазин"
"Refresh All","Обнови всички"
"For Deleted Templates","При изтрит шаблон"
"File Uploading Limit","Лимит на размера на качване"
"Up/Down","Нагоре/Надолу"
"Collapse/Expand","Затвори/Отвори"
"Title","Заглавие"
"Upload","Качване"
"My images","Моите изображения"
"Stock images","Готови изображения"
"Color picker","Избор на цвят"
"Blank","Празен"
"Default","По подразбиране"
"Upload new image from your computer","Качи изображение от своя компютър"
"Choose file","Избери файл"
"Upload file","Качи файл"
"Click to edit","Натиснете за редакция"
"Click to delete","Изтрий"
"Delete","Изтрий"
"Edit","Редактирай"
"Click to enlarge","Натиснете за увеличение"
"Choose a color","Изберете цвят"
" and click Select to fill the place of the photo."," и натиснете Select, за да замените снимката."
"Click to show page","Натиснете за да се покаже страницата"
"Recommended size:","Препоръч. размер:"
"px","пикс"
