"Customer Groups Catalog","Customer Groups Catalog"
"Disable CustomerGroups Extension","Erweiterung deaktivieren"
"Hide from customer groups","Verstecke vor Kundengruppen"
"Default: hide products from customer groups","Verstecke Produkte vor Kundengruppen"
"Default: hide categories from customer groups","Verstecke Kategorien vor Kundengruppen"
"Please contact our staff to see all our products.","Bitte kontaktieren Sie uns um unser gesamtes Produktangebot zu sehen."
"Please contact our staff to see our complete catalog.","Bitte kontaktieren Sie uns um unseren gesamten Katalog zu sehen."
"NONE","KEINER"
"USE DEFAULT","STANDARD BENUTZEN"
"The USE DEFAULT selection was ignored because you also selected other customer groups.","Die STANDARD BENUTZEN Selektion wurde ignoriert da noch weitere Kundengruppen ausgewählt wurden."
"Customer groups besides NONE where removed from the selection.","Kundengruppen außer KEINE wurden ignoriert."
"Products visible to the customer group %s","Sichtbare Produkte für die Kundengruppe %s"
"Visible Products","Sichtbare Produkte"
"Grow DB Field Size if required","Länge des DB Feldes wenn nötig vergrößern."
