"ZetaPrints Sync","ZetaPrints Sync"
"Settings","Configuracion"
"Enabled","Activar"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API Key"
"Store","Tienda"
"Refresh All","Refrescar Todo"
"For Deleted Templates","Para plantillas Borradas"
"File Uploading Limit","Limite de subida de archivo"
"Up/Down","Arriba/Abajo"
"Collapse/Expand","Encojer/expandir"
"Title","Titulo"
"Upload","Subir"
"My images","Mis Imagenes"
"Stock images","Galeria Imagenes"
"Color picker","Paleta de Colores"
"Blank","Nada"
"Default","Por Defecto"
"Upload new image from your computer","Subir nueva imagen de tu ordenador"
"Choose file","Elige Archivo"
"Upload file","Subir Archivo"
"Click to edit","Pincha para editar"
"Click to delete","Pincha para borrar"
"Delete","Borrar"
"Edit","Editar"
"Click to enlarge","Pincha para agrandar"
"Choose a color","Elige un color"
" and click Select to fill the place of the photo."," pincha Select para rellenar el fondo de la foto."
"Click to show page","Pincha para ver la pagina"
