"Click to enlarge image","Кликни за да ја зголемиш сликата"
"Click to see more images","Кликни за да видиш повеќе слики"
"PDF Proof","PDF доказ"
"Update preview","Обнови преглед"
"Updating preview image","Прегледот се обновува"
"Next page","Следна страна"
"Show previews","Покажи ги прегледите"
"Hide previews","Скриј ги прегледите"
"Show all order previews","Покажи ги прегледите од сите нарачки"
"Hide all order previews","Скриј ги прегледите од сите нарачки"
"Edit","Промени"
"Delete","Избриши"
"Can't get preview image:","Прегледот не може да се вчита"
"There was an error in generating or receiving preview image.\nPlease try again.","Имаше проблем при генерирањето или примањето на прегледот.\nОбидете се повторно."
"Error was occurred while preparing preview image","Имаше проблем во припремата на прегледот"
"Error was occurred while uploading image","Имаше проблем при префрлањето на сликата"
"Click to close","Затвори"
"Click to view in large size","Кликни за поголема слика"
"Click to delete","Кликни за бришење"
"Click to edit","Кликни за промени"
"Can't delete image","Сликата не може да биде избришана"
"Delete this image?","Избриши ја сликава?"
"Name","Име"
"Created","Креирано"
"Fit in field","Намести во полето"
"Fit image in field","Намести ја сликата во полето"
"Rotate Image Right","Ротирај ја сликата десно"
"Rotate right","Ротирај десно"
"Rotate Image Left","Ротирај ја сликата лево"
"Rotate left","Ротирај лево"
"Crop Image","Поткастри ја сликата"
"Crop","Поткастри"
"Undo all changes","Избриши ги промените"
"Restore","Воспостави во оригинална состојба"
"Delete Image","Избриши ја сликата"
"Personalize","Персонализирај"
"Please specify the product's required option(s) and/or personalize it","Внесете ги бараните опции за продуктот и/или персонализирајте го"
"Pending Review","Се чека ревизија"
"Share preview","Подели преглед"
"Save","Зачувај"
"Saved","Зачувано"
"Reset","Ресетирај"
"ZetaPrints web-to-print options","ZetaPrints web-to-print опции"
"Customer's personal options for web-to-print extension.","Лични опции на корисникот за web-to-print екстензијата."
"Update all previews first!","Обнови ги сите прегледи!"
"Update preview first!","Обнови го прегледот!"
"Settings","Подесувања"
"Enabled","Вклучено"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API клуч"
"Store","Продавница"
"Refresh All","Освежи ги сите"
"For Deleted Templates","За избришани темплејти"
"File Uploading Limit","Лимит за прикачување датотеки"
"Up/Down","Горе/Долу"
"Collapse/Expand","Затвори/Отвори"
"Title","Назив"
"Upload","Префрли"
"My images","Мои слики"
"Stock images","Збирка слики"
"Color picker","Бирач на бои"
"Blank","Празно"
"Default","Постоечко"
"Upload new image from your computer","Префрли слика од твојот компјутер"
"Choose file","Одбери датотека"
"Upload file","Префрли датотека"
"Click to enlarge","Кликни да зголемиш"
"Choose a color","Одбери боја"
" and click Select to fill the place of the photo."," и кликнете Select за да ја исполните површината во сликата"
"Click to show page","Кликни за да ја видиш страницата"
"Recommended size:","Препорачана големина:"
"px","пиксели"
"Use this product as source","Употреби го продуктов како извор"
"Set Defaults For Created Products","Користи постоечки подесувања за креираните продукти"
"Use image","Избери слика"
"Selected image","Избрана слика"
"Can't crop image","Сликата не може да се поткастри"
"Can't restore image","Сликата не може да се воспостави во оригинална состојба"
"Can't load image","Сликата не може да се лоадира"
"Can't rotate image","Сликата не може да се ротира"
"Original size","Оригинална големина"
"Unknown error occured","Се случи непозната грешка"
"Adapt for this field","Адаптирај за ова поле"
"Global changes","Глобални промени"
"Fit image","Смести ја сликата"
"Fill field","Исполни го полето"
"Fit height","Смести по висина"
"Fit width","Смести по ширина"
"Cropping this image will affect all fields it is used for.","Поткаструвањето на оваа слика ќе се одрази на сите полиња во кои е употребена."
"Uploaded image","Прикачена слика"
"Cropped image","Поткастрена слика"
"Recommended image","Препорачана слика"
"at","со"
"dpi","dpi"
"Size and resolution of the uploaded image as it will be shown in the design.","Големина и резолуција на прикачената слика како што ќе биде прикажана во дизајнот."
"Size and resolution of the selected image area as it will be shown in the design.","Големина и резолуција на селектираниот дел од сликата како што ќе биде прикажан во дизајнот."
"Best image size for fit and quality.","Најдобра големина на сликата за сместување и квалитет."
"Move, resize and crop the image for the best fit and resolution.","Помести, смени големина и поткастри ја сликата за најдобро сместување и резолуција."
"The selected area is too small for quality output.","Селектираниот дел е премал за квалитетен резултат."
"The image resolution is too small for quality output. Try resizing here or upload a larger image.","Резолуцијата на сликата е премала за квалитетен резултат. Обиди се да промениш големина овде или прикачи нова слика."
"The image is too small. Upload a larger image or move, resize and crop this one for the best fit.","Сликата е премала. Прикачи поголема слика или помести, промени големина или поткастри ја оваа за најдобро сместување."
