"Rotate right","Повернуть направо"
"Rotate left","Повернуть налево"
"Rotate Image Right","Повернуть изображение направо"
"Rotate Image Left","Повернуть изображение налево"
"Crop Image","Обрезать изображение"
"Crop","Обрезать"
"Undo all changes","Отменить все изменения"
"Restore","Восстановить"
"Use triggers to crop image","Используйте мышку, чтобы обрезать изображение"
"Image Croped","Изображение обрезано"
"Image Restored","Изображение восстановлено"
"Image Loaded","Изображение загружено"
"Image Rotated","Изображение повернуто"
