"Click to enlarge image","Resimi büyütmek için lütfen tıklayınız"
"Click to see more images","Daha fazla resim görmek için lütfen tıklayınız"
"PDF Proof","PDF olarak Önizleme"
"Update preview","Değişiklikleri Uygula"
"Updating preview image","Değişiklikler uygulanıyor, lütfen bekleyiniz"
"Next page","Sonraki sayfa"
"Show previews","Önizlemeleri göster"
"Hide previews","Önizlemeleri gizle"
"Show all order previews","Tüm siparişlerin önizlemelerini göster"
"Hide all order previews","Tüm siparişlerin önizlemelerini gizle"
"Edit","Düzenle"
"Delete","Sil"
"Error was occurred while preparing preview image","Önizleme dosyasını oluştururken bir hata oluştu"
"Error was occurred while uploading image","Dosyanın gönderilmesi sırasında bir hata oluştu"
"Click to close,Kapatmak için tıklayınız"
"Click to view in large size","Daha büyük boyutta görmek için tıklayınız"
"Click to delete","Silmek için tıklayınız"
"Click to edit","Düzenlemek için tıklayınız"
"Can't delete image","Resim silinemiyor"
"Delete this image?","Resimi silmek istiyor musunuz?"
"Name","İsim"
"Created","Oluşturuldu"
"Fit in field","Çalışma alanına sığdır"
"Fit image in field","Resimi çalışma alanına sığdır"
"Rotate Image Right","Resimi sağa döndür"
"Rotate right","Sağa döndür"
"Rotate Image Left","Resimi sola döndür"
"Rotate left","Sola döndür"
"Crop Image","Resimi kırp"
"Crop","Kırp"
"Undo all changes","Tüm değişiklikleri geri al"
"Restore","Geri yükle"
"Delete Image","Resimi sil"
"Personalize","Kişiselleştir"
"Please specify the product's required option(s) and/or personalize it","Lütfen ihtiyaç duyulan ürün seçeneklerini belirtin ve/veya ürünü kişiselleştirin"
"Pending Review","Kontrol etmeniz bekleniyor"
"Share preview","Önizlemeyi paylaş"
"Save","Kaydet"
"Saved","Kaydedildi"
"Reset","Sıfırla"
"ZetaPrints web-to-print options","Türken Dijital Web2Print Seçenekleri"
"Customer's personal options for web-to-print extension.","Web2Print eklentisi için müşterinin kişisel seçenekleri."
"Update all previews first!","Önce tüm önizlemeleri güncelle"
"Update preview first!","Önce önizlemeyi güncelle"
"Settings","Ayarlar"
"Enabled","Etkinleştirildi"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API Key"
"Store","Mağaza"
"Refresh All","Hepsini Yenile"
"For Deleted Templates","Silinen şablonlar için"
"File Uploading Limit","Dosya Yükleme Limiti"
"Up/Down","Yukarı/Aşağı"
"Collapse/Expand","Daralt/Genişlet"
"Title","Başlık"
"Upload","Yükle"
"My images","Resimlerim"
"Stock images","Resim arşivi"
"Color picker","Renk seçici"
"Blank","Boş"
"Default","Varsayılan"
"Upload new image from your computer","Yeni bir resim yükleyiniz"
"Choose file","Dosya seç"
"Upload file","Dosya Yükle"
"Click to enlarge","Büyükmek için tıklayınız"
"Choose a color","Renk seçiniz"
" and click Select to fill the place of the photo."," ve resim alanını doldurmak için Seç butonuna basınız"
"Click to show page","Sayfayı göstermek için tıklayınız"
"Recommended size:","Tevsiye edilen ebat:"
"px","px"
"Use this product as source","Bu ürünü kaynak olarak kullan"
"Set Defaults For Created Products","Oluşturulan ürünler için varsayılan ayarları düzenle"
"Use image","Resimi kullan"
"Selected image","Seçilen resim"
"Can't crop image","Resim kırpılamıyor"
"Can't restore image","Resim geri yüklenemiyor"
"Can't load image","Resim yüklenemiyor"
"Can't rotate image","Resim döndürülemiyor"
"Original size","Orijinal ebat"
"Unknown error occured","Bilinmeyen bir hata oluştu"
"Adapt for this field","Bu alan için uygula"
"Global changes","Global değişiklikler"
"Fit image","Resimi sığdır"
"Fill frame","Çerçeveyi kapla"
"Fit height","Yüksekliğe sığdır"
"Fit width","Genişliğe sığdır"
"Cropping this image will affect all fields it is used for.","Bu resimi kırpmanız halinde resimin kullanıldığı tüm alanlar bu değişiklikten etkilenecektir."
"Uploaded image","Yüklenen resim"
"Cropped image","Kırpılan resim"
"Recommended image","Tavsiye edilen resim"
"at","at"
"dpi","dpi"
"Size and resolution of the uploaded image as it will be shown in the design.","Yüklenen resimin boyutu ve çözünürlüğü tasarımda gösterildiği gibi olacaktır."
"Size and resolution of the selected image area as it will be shown in the design.","Seçilen resimin boyutu ve çözünürlüğü tasarımda gösterildiği gibi olacaktır."
"Best image size for fit and quality.","Baskının kaliteli çıkması ve çalışma alanına sığması için en iyi resim boyutu"
"Move, resize and crop the image for the best fit and resolution","Tasarımı dilediğiniz şekilde düzenlemek için büyütün, küçültün, yer değiştirin veya kırpın"
"The selected area is too small for quality output.","Seçilen alan kaliteli bir baskı için çok küçük"
"The image resolution is too small for quality output. Try resizing here or upload a larger image.","Resim çözünürlüğü kaliteli bir baskı için çok düşük. Lütfen bu resimi çalışmanızda daha küçük bir ebatta kullanının veya daha yüksek çözünürlüklü bir resim yükleyin."
