"Click to enlarge image","Resimi büyütmek için lütfen týklayýnýz"
"Click to see more images","Daha fazla resim görmek için lütfen týklayýnýz"
"PDF Proof","PDF olarak Önizleme"
"Update preview","Deðiþiklikleri Uygula"
"Updating preview image","Deðiþiklikler uygulanýyor, lütfen bekleyiniz"
"Next page","Sonraki sayfa"
"Show previews","Önizlemeleri göster"
"Hide previews","Önizlemeleri gizle"
"Show all order previews","Tüm sipariþlerin önizlemelerini göster"
"Hide all order previews","Tüm sipariþlerin önizlemelerini gizle"
"Edit","Düzenle"
"Delete","Sil"
"Error was occurred while preparing preview image","Önizleme dosyasýný oluþtururken bir hata oluþtu"
"Error was occurred while uploading image","Dosyanýn gönderilmesi sýrasýnda bir hata oluþtu"
"Click to close,Kapatmak için týklayýnýz"
"Click to view in large size","Daha büyük boyutta görmek için týklayýnýz"
"Click to delete","Silmek için týklayýnýz"
"Click to edit","Düzenlemek için týklayýnýz"
"Can't delete image","Resim silinemiyor"
"Delete this image?","Resimi silmek istiyor musunuz?"
"Name","Ýsim"
"Created","Oluþturuldu"
"Fit in field","Çalýþma alanýna sýðdýr"
"Fit image in field","Resimi çalýþma alanýna sýðdýr"
"Rotate Image Right","Resimi saða döndür"
"Rotate right","Saða döndür"
"Rotate Image Left","Resimi sola döndür"
"Rotate left","Sola döndür"
"Crop Image","Resimi kýrp"
"Crop","Kýrp"
"Undo all changes","Tüm deðiþiklikleri geri al"
"Restore","Geri yükle"
"Delete Image","Resimi sil"
"Personalize","Kiþiselleþtir"
"Please specify the product's required option(s) and/or personalize it","Lütfen ihtiyaç duyulan ürün seçeneklerini belirtin ve/veya ürünü kiþiselleþtirin"
"Pending Review","Kontrol etmeniz bekleniyor"
"Share preview","Önizlemeyi paylaþ"
"Save","Kaydet"
"Saved","Kaydedildi"
"Reset","Sýfýrla"
"ZetaPrints web-to-print options","Türken Dijital Web2Print Seçenekleri"
"Customer's personal options for web-to-print extension.","Web2Print eklentisi için müþterinin kiþisel seçenekleri."
"Update all previews first!","Önce tüm önizlemeleri güncelle"
"Update preview first!","Önce önizlemeyi güncelle"
"Settings","Ayarlar"
"Enabled","Etkinleþtirildi"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API Key"
"Store","Maðaza"
"Refresh All","Hepsini Yenile"
"For Deleted Templates","Silinen þablonlar için"
"File Uploading Limit","Dosya Yükleme Limiti"
"Up/Down","Yukarý/Aþaðý"
"Collapse/Expand","Daralt/Geniþlet"
"Title","Baþlýk"
"Upload","Yükle"
"My images","Resimlerim"
"Stock images","Resim arþivi"
"Color picker","Renk seçici"
"Blank","Boþ"
"Default","Varsayýlan"
"Upload new image from your computer","Yeni bir resim yükleyiniz"
"Choose file","Dosya seç"
"Upload file","Dosya Yükle"
